short_name,long_name,Borough,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Staten Island,37850,40550.19894,42382.16052,43084.91948,38763.2567,36438.66013,42290.31416,43888.64155,41649.24418,33566.05449,38444.04104,36220.17071,41228.56375,45425
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Manhattan,56340,59418.6572,61831.48338,62476.84706,62876.47967,59313.6499,59135.07962,62222.15954,62267.70299,65016.42021,65018.59206,68331.02487,68291.01867,70929
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,29390,32210.78178,33790.93762,33148.13786,31381.04473,30763.93583,29331.69763,29085.7585,30543.06319,28780.51789,30037.09823,32657.37767,31862.2803,32269
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,37160,36917.35739,39462.95341,40102.2602,38439.72886,38404.08016,37761.26056,39585.57865,39990.34896,40380.00246,42707.89961,45458.08058,44797.35111,48970
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Queens,46160,50316.71528,50428.3683,52326.52097,50886.30694,47210.97962,45834.02244,46319.67709,47080.87414,47497.8441,50042.57651,50480.69404,53468.62799,56199
